exercise_id,name_en,name_nl,focus,difficulty,senior_safe,puppy_safe,equipment,impact,progression_level,duration_type,reps_duration,video_url,contra_indications,coaching_cues,tags
IYC_001,It's Your Choice,It's Your Choice,mental control,beginner,TRUE,TRUE,none,low,base,hold,multiple sessions,,,"Open hand with treats - mark when dog shows self-control, not when taking treats","impulse_control,foundation,mental,self_control"
MAT_001,Go to Mat,Ga naar matje,mental control,beginner,TRUE,TRUE,mat,low,base,hold,stay until release,,,"Mark interest in mat first - build to 4 paws - then add distance","foundation,mental,targeting,distance_work"
TOUCH_001,Paw Target,Pootje tik,mental control,beginner,TRUE,TRUE,target,low,base,instant,single touch,,,"Similar to mat work but smaller target - dog taps with one paw","foundation,mental,targeting,paw_awareness"
NOSE_001,Nose Touch,Nose touch,mental control,beginner,TRUE,TRUE,none,low,base,instant or hold,brief touch or sustained,,,"Fleeting touch - moving hand follow - or hold variations available","foundation,mental,hand_targeting"
VITO_001,Vito Game Customized,Vito Game Customized,body awareness,intermediate,TRUE,FALSE,"buckets, cone, platform or mat",low,base,reps,multiple reps,,,"Dog alternates between two buckets - learns to go around cone - builds to obstacle courses","shaping,operant_conditioning,body_awareness,problem_solving"
2PAWS_001,Two Paws On,2 Pootjes op,"rear_end, core, strength",beginner,TRUE,TRUE,"step, platform",low,base,hold,5-15 sec hold,https://youtube.com/shorts/yIKomPAxRSo,"knee injury front limbs, shoulder issues","Neutral spine - nose parallel to ground - weight on hindquarters - calm controlled stance","rear_end,core,weight_shift,foundation,low_impact"
2FEET_001,Two Feet On,2 Voetjes op,"rear_end_awareness, core",intermediate,TRUE,FALSE,"platform, balance pad",low,intermediate,hold,10-15 sec,,"hip issues, rear leg injury","Rear paws on platform - front paws on ground - neutral spine - weight forward","rear_awareness,proprioception,core,balance"
4ON2_001,Four Paws on Two,4 Pootjes op 2,core,intermediate,TRUE,FALSE,"two platforms or steps",medium,intermediate,hold,10-20 sec,,"severe back issues, shoulder problems","Front paws on front platform - rear paws on rear platform - straight back - neutral head","core,stabilization,foundation,body_awareness"
SHIFT_001,Weight Shifts,Weight shifts,core,intermediate,TRUE,FALSE,"two platforms or steps",medium,intermediate,hold,multiple shifts,,"balance issues, severe arthritis","Dog in 4-on-2 position - handler moves around - dog follows with head - paws stay in place","core,stabilization,balance,proprioception"
BACK_001,Backwards Walking,Achterwaarts stappen,"front_end, core, body_awareness",intermediate,TRUE,FALSE,"corridor or guides, target",medium,intermediate,reps,3-5 steps,,,"Dog walks backward in straight line - front end pushes body back - no hopping","front_end,core,proprioception,coordination"
